Date,regime_pdrc
2002-12-04,Fragile
2002-12-05,Fragile
2002-12-06,Fragile
2002-12-09,Fragile
2002-12-10,Fragile
2002-12-11,Fragile
2002-12-12,Fragile
2002-12-13,Fragile
2002-12-16,Fragile
2002-12-17,Fragile
2002-12-18,Fragile
2002-12-19,Fragile
2002-12-20,Volatile
2002-12-23,Volatile
2002-12-24,Volatile
2002-12-26,Fragile
2002-12-27,Fragile
2002-12-30,Fragile
2002-12-31,Fragile
2003-01-02,Volatile
2003-01-03,Volatile
2003-01-06,RiskOn
2003-01-07,RiskOn
2003-01-08,Volatile
2003-01-09,RiskOn
2003-01-10,RiskOn
2003-01-13,RiskOn
2003-01-14,RiskOn
2003-01-15,RiskOn
2003-01-16,RiskOn
2003-01-17,RiskOn
2003-01-21,RiskOn
2003-01-22,Stable
2003-01-23,Illiquid
2003-01-24,Crisis
2003-01-27,Crisis
2003-01-28,Crisis
2003-01-29,Stable
2003-01-30,Fragile
2003-01-31,Fragile
2003-02-03,Stable
2003-02-04,Stable
2003-02-05,Stable
2003-02-06,Stable
2003-02-07,Stable
2003-02-10,Stable
2003-02-11,Fragile
2003-02-12,Fragile
2003-02-13,Fragile
2003-02-14,Fragile
2003-02-18,Fragile
2003-02-19,Fragile
2003-02-20,Crisis
2003-02-21,Crisis
2003-02-24,Crisis
2003-02-25,Crisis
2003-02-26,Crisis
2003-02-27,Crisis
2003-02-28,Crisis
2003-03-03,Crisis
2003-03-04,Crisis
2003-03-05,Crisis
2003-03-06,Crisis
2003-03-07,Crisis
2003-03-10,Crisis
2003-03-11,Crisis
2003-03-12,Crisis
2003-03-13,Crisis
2003-03-14,Crisis
2003-03-17,RiskOn
2003-03-18,RiskOn
2003-03-19,RiskOn
2003-03-20,RiskOn
2003-03-21,RiskOn
2003-03-24,RiskOn
2003-03-25,RiskOn
2003-03-26,RiskOn
2003-03-27,RiskOn
2003-03-28,RiskOn
2003-03-31,RiskOn
2003-04-01,RiskOn
2003-04-02,RiskOn
2003-04-03,RiskOn
2003-04-04,RiskOn
2003-04-07,RiskOn
2003-04-08,RiskOn
2003-04-09,RiskOn
2003-04-10,RiskOn
2003-04-11,Volatile
2003-04-14,RiskOn
2003-04-15,RiskOn
2003-04-16,Volatile
2003-04-17,Volatile
2003-04-21,RiskOn
2003-04-22,RiskOn
2003-04-23,RiskOn
2003-04-24,RiskOn
2003-04-25,Volatile
2003-04-28,RiskOn
2003-04-29,RiskOn
2003-04-30,RiskOn
2003-05-01,RiskOn
2003-05-02,RiskOn
2003-05-05,RiskOn
2003-05-06,RiskOn
2003-05-07,RiskOn
2003-05-08,RiskOn
2003-05-09,Crisis
2003-05-12,Crisis
2003-05-13,Crisis
2003-05-14,Crisis
2003-05-15,Crisis
2003-05-16,Crisis
2003-05-19,Crisis
2003-05-20,Crisis
2003-05-21,Illiquid
2003-05-22,Crisis
2003-05-23,Crisis
2003-05-27,Crisis
2003-05-28,Crisis
2003-05-29,Crisis
2003-05-30,Crisis
2003-06-02,Illiquid
2003-06-03,Illiquid
2003-06-04,Illiquid
2003-06-05,Illiquid
2003-06-06,Illiquid
2003-06-09,Illiquid
2003-06-10,Crisis
2003-06-11,Crisis
2003-06-12,Crisis
2003-06-13,Crisis
2003-06-16,Crisis
2003-06-17,Crisis
2003-06-18,Crisis
2003-06-19,Crisis
2003-06-20,Crisis
2003-06-23,Crisis
2003-06-24,Crisis
2003-06-25,Crisis
2003-06-26,Crisis
2003-06-27,Crisis
2003-06-30,Crisis
2003-07-01,Crisis
2003-07-02,Crisis
2003-07-03,Crisis
2003-07-07,Crisis
2003-07-08,Crisis
2003-07-09,Crisis
2003-07-10,Crisis
2003-07-11,Crisis
2003-07-14,Crisis
2003-07-15,Crisis
2003-07-16,Crisis
2003-07-17,Crisis
2003-07-18,Crisis
2003-07-21,Crisis
2003-07-22,Crisis
2003-07-23,Crisis
2003-07-24,Crisis
2003-07-25,Crisis
2003-07-28,Crisis
2003-07-29,Crisis
2003-07-30,Crisis
2003-07-31,Crisis
2003-08-01,Crisis
2003-08-04,Illiquid
2003-08-05,Illiquid
2003-08-06,Illiquid
2003-08-07,Crisis
2003-08-08,Crisis
2003-08-11,Stable
2003-08-12,Crisis
2003-08-13,Crisis
2003-08-14,Crisis
